"STT","Mã Bước","Giai Đoạn","Tên Hạng Mục Công Việc","Hành Động Cụ Thể & Mô Tả","Khung Thời Gian","Người Đảm Nhận (PIC)","Trạng Thái (Check)","Ghi Chú & Diễn Giải Vấn Đề Gặp Phải (Remark)"
"1","1.1","Giai Đoạn 1: Nghiên Cứu Định Vị & Brand Identity","Khảo sát đối thủ tại Phố Cổ","Khảo sát trực tiếp 8 tiệm thuê quần áo nổi tiếng tại Hội An (xem mẫu mã, giá cọc, tình trạng đồ hư hỏng).","Tuần 1 - Tuần 2","Chủ tiệm","FALSE",""
"2","1.2","Giai Đoạn 1: Nghiên Cứu Định Vị & Brand Identity","Định vị thương hiệu LONA Dress","Định vị thương hiệu theo phong cách 'Luxury Heritage & Modern Aesthetic' (Sang trọng Indochine kết hợp hiện đại).","Tuần 1 - Tuần 2","Chủ tiệm","FALSE",""
"3","1.3","Giai Đoạn 1: Nghiên Cứu Định Vị & Brand Identity","Thiết kế Bộ nhận diện thương hiệu","Thiết kế Logo, Card visit, Tag treo quần áo bọc nhung, Túi xách ni-lông khóa kéo cao cấp in thương hiệu.","Tuần 1 - Tuần 2","Designer / Team","FALSE",""
"4","1.4","Giai Đoạn 1: Nghiên Cứu Định Vị & Brand Identity","Đăng ký pháp lý & Giấy phép","Đăng ký hộ kinh doanh cá thể, cấp phép bảng hiệu & hoàn thiện hợp đồng pháp lý mở tiệm.","Tuần 1 - Tuần 2","Chủ tiệm","FALSE",""
"5","2.1","Giai Đoạn 2: Chốt Mặt Bằng & Thi Công Studio","Tìm & Ký hợp đồng mặt bằng","Ký hợp đồng mặt bằng diện tích 60 - 90m² ở bán kính ≤ 800m quanh Phố Cổ (Trần Hưng Đạo, Phan Châu Trinh, Lê Lợi).","Tuần 3 - Tuần 5","Chủ tiệm","FALSE",""
"6","2.2","Giai Đoạn 2: Chốt Mặt Bằng & Thi Công Studio","Thi công 3 Phòng thử đồ VIP","Thi công 3 Phòng thử đồ VIP (mỗi phòng 4m² có rèm nhung cách âm), gương soi toàn thân gắn đèn LED.","Tuần 3 - Tuần 5","Đội thi công","FALSE",""
"7","2.3","Giai Đoạn 2: Chốt Mặt Bằng & Thi Công Studio","Lắp sào mạ vàng & Đèn LED 5500K","Lắp đặt sào treo inox mạ vàng champagne, dải đèn LED 5500K chiếu điểm tạo hiệu ứng đồ lấp lánh như showroom.","Tuần 3 - Tuần 5","Đội thi công","FALSE",""
"8","2.4","Giai Đoạn 2: Chốt Mặt Bằng & Thi Công Studio","Thiết kế Góc Makeup Hollywood","Thiết kế Bàn trang điểm Makeup 2 vị trí chuẩn đèn bóng tròn Hollywood & Góc sofa chờ cho bạn đi cùng.","Tuần 3 - Tuần 5","Đội thi công","FALSE",""
"9","3.1","Giai Đoạn 3: Nhập Kho & Lắp Đặt Hệ Thống SOP","Nhập kho 200 bộ trang phục đợt 1","Nhập đợt 1: 150 bộ Trend Gen Z/Boho/Áo dài cách tân + 50 bộ Đồ thiết kế Local Brands (Daphale, Subtle, DATT, SIXDO...).","Tuần 6 - Tuần 8","Chủ tiệm","FALSE",""
"10","3.2","Giai Đoạn 3: Nhập Kho & Lắp Đặt Hệ Thống SOP","Nhập 80+ Phụ kiện sống ảo","Nhập nón cối vintage, túi mây nón lá, guốc gỗ sơn mài, quạt xếp cổ phong chụp ảnh Phố Cổ.","Tuần 6 - Tuần 8","Chủ tiệm","FALSE",""
